,Label,Spotify,Title,Artist,Featured Artists,feat-string,artist-string,weav-track-prefix,Prefix formula,Genre,ISRC,GRID,source-UPC,Circle of Fifths
0,['recv68bB40bhbNHXl'],https://open.spotify.com/search/songs/Outkast%20-%20Ms%20Jackson%20,Ms Jackson,Outkast,,,Outkast,io.weav.tracks.MsJackson,MsJackson,['Hip Hop'],USAR10100783,,,0
1,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/Whethan%20-%20Savage%20ft.%20Flux%20Pavilion%20,Savage,Whethan,['recjJwJm290oHWAam'],Flux Pavilion,Whethan,io.weav.tracks.Savage,Savage,['EDM'],USAT21603407,A10302B0003796223G,0075679902061,2
2,['recv68bB40bhbNHXl'],https://open.spotify.com/search/songs/Run%20DMC%20-%20It’s%20Tricky%20,It’s Tricky,Run DMC,,,Run DMC,io.weav.tracks.ItsTricky,It’sTricky,['Hip Hop'],USAR18600005,,,8
3,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/KREAM%20-%20Another%20Life%20ft.%20Mark%20Asari%20,Another Life,KREAM,['recOvVIULnlI4VeU7'],Mark Asari,KREAM,io.weav.tracks.AnotherLife,AnotherLife,['Dance'],USAT21802943,A10302B0004488087Z,0075679914248,3
4,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/The%20Knocks%20-%20Classic%20ft.%20Powers%20,Classic,The Knocks,['recqLLl5r1PhVMgCz'],Powers,The Knocks,io.weav.tracks.Classic,Classic,['Dance'],USAT21404380,A10302B0002670000S,075679909954,2
5,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/Sweater%20Beats%20-%20Did%20You%20Wrong%20ft.%20MAX%20,Did You Wrong,Sweater Beats,['recZ8s5ZVWNWOOo8S'],MAX,Sweater Beats,io.weav.tracks.DidYouWrong,DidYouWrong,['EDM'],USAT21602118,A10302B0003570268J,075679906915,7
6,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/KREAM%20-%20Taped%20Up%20Heart%20ft.%20Clara%20Mae%20,Taped Up Heart,KREAM,['recgX7mmgedEVLu1O'],Clara Mae,KREAM,io.weav.tracks.TapedUpHeart,TapedUpHeart,['Pop'],USAT21602970,A10302B00037083260,075679903570,9
7,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/Cash%20Cash%20-%20Aftershock%20ft.%20Jacquie%20Lee%20,Aftershock,Cash Cash,['rec0N4eduOwO3z7BU'],Jacquie Lee,Cash Cash,io.weav.tracks.Aftershock,Aftershock,['EDM'],USAT21600001,A10302B0003256081G,0075679914354,8
8,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/Alex%20Newell%20-%20Basically%20Over%20You%20,Basically Over You,Alex Newell,,,Alex Newell,io.weav.tracks.BasicallyOverYou,BasicallyOverYou,['Dance'],USAT21802903,A10302B00044879620,0075678665721,7
9,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/Galantis%20-%20Rich%20Boy%20,Rich Boy,Galantis,,,Galantis,io.weav.tracks.RichBoy,RichBoy,['EDM'],USAT21802930,A10302B0004488033S,075679900913,8
10,,https://open.spotify.com/search/songs/Dawn%20Richard%20-%20LA%20,LA,Dawn Richard,,,Dawn Richard,io.weav.tracks.LA,LA,['Pop'],GB2DZ1600029,,,10
11,['recYiOnj3tGbMVNGA'],https://open.spotify.com/search/songs/OMI%20-%20Cheerleader%20(Felix%20Jaehn%20remix)%20,Cheerleader (Felix Jaehn remix),OMI,,,OMI,io.weav.tracks.Cheerleader,Cheerleader(FelixJaehnremix),['EDM'],USQX91500448,,,4
12,['recYiOnj3tGbMVNGA'],https://open.spotify.com/search/songs/Era%20Istrefi%20-%20Bonbon%20,Bonbon,Era Istrefi,,,Era Istrefi,io.weav.tracks.Bonbon,Bonbon,['Pop'],USUS11600249,,,9
13,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/D.R.A.M.%20-%20Broccoli%20ft.%20Lil%20Yachty%20,Broccoli,D.R.A.M.,['recYIYTumM0SBoHqD'],Lil Yachty,D.R.A.M.,io.weav.tracks.Broccoli,Broccoli,['Hip Hop'],USAT21603388,A10302B0003794681X,,8
14,['reck54yvjXCR59Dp7'],https://open.spotify.com/search/songs/St.%20Lucia%20-%20Physical%20,Physical,St. Lucia,,,St. Lucia,io.weav.tracks.Physical,Physical,['Pop'],USSM11507976,,,1
15,['reck54yvjXCR59Dp7'],https://open.spotify.com/search/songs/No%20Wyld%20-%20Grown%20Up%20,Grown Up,No Wyld,,,No Wyld,io.weav.tracks.GrownUp,GrownUp,['Pop'],USSM11607593,,,6
16,['reck54yvjXCR59Dp7'],https://open.spotify.com/search/songs/No%20Wyld%20-%20Let%20Me%20Know%20,Let Me Know,No Wyld,,,No Wyld,io.weav.tracks.LetMeKnow,LetMeKnow,['EDM'],USSM11504788,,,1
17,['rec4nmnyhegc94kEf'],https://open.spotify.com/search/songs/Little%20Boots%20-%20No%20Pressure%20,No Pressure,Little Boots,,,Little Boots,io.weav.tracks.NoPressure,NoPressure,['Pop'],GBVHV1500017,A10302B0003044785S,812339022277,5
